Player,GP,GS,MPG,FG%,3FG%,FT%,RPG,APG,SPG,BPG,PPG
Ryan Arcidiacono,11,0,2.4,.200,.333,—,.4,.2,.2,.0,.3
RJ Barrett,73,73,33.9,.434,.310,.740,5.0,2.8,.4,.2,19.6
Jalen Brunson,68,68,35.0,.491,.416,.829,3.5,6.2,.9,.2,24.0
Evan Fournier,27,7,17.0,.337,.307,.857,1.8,1.3,.6,.1,6.1
Quentin Grimes,71,66,29.9,.468,.386,.796,3.2,2.1,.7,.4,11.3
Josh Hart,25,1,30.0,.586,.519,.789,7.0,3.6,1.4,.5,10.2
Isaiah Hartenstein,82,8,19.8,.535,.216,.676,6.5,1.2,.6,.8,5.0
Trevor Keels,3,0,2.7,.250,.250,—,.7,.0,.0,.0,1.0
Miles McBride,64,2,11.9,.358,.299,.667,.8,1.1,.6,.1,3.5
Sviatoslav Mykhailiuk,13,0,3.1,.500,.600,.600,.5,.1,.1,.0,1.6
Immanuel Quickley,81,21,28.9,.448,.370,.819,4.2,3.4,1.0,.2,14.9
Julius Randle,77,77,35.5,.459,.343,.757,10.0,4.1,.6,.3,25.1
Cam Reddish,20,8,21.9,.449,.304,.879,1.6,1.0,.8,.4,8.4
Mitchell Robinson,59,58,27.0,.671,—,.484,9.4,.9,.9,1.8,7.4
Derrick Rose,27,0,12.5,.384,.302,.917,1.5,1.7,.3,.2,5.6
Jericho Sims,52,16,15.6,.776,.000,.750,4.7,.5,.3,.5,3.4
Obi Toppin,67,5,15.7,.446,.344,.809,2.8,1.0,.3,.2,7.4
